--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
391.990  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
392.043  000.007  000.007: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
392.084  000.006  000.006: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
392.136  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
392.187  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
392.249  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
392.289  000.008  000.008: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
393.909  000.611  000.611: require('lualine.utils.mode')
399.204  000.033  000.033: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
399.347  000.074  000.074: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
399.403  000.036  000.036: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
399.433  000.015  000.015: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
399.453  000.009  000.009: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
401.109  000.413  000.413: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/editorconfig.lua
401.147  001.137  000.723: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
402.213  000.501  000.501: sourcing C:\Users\Kristan\scoop\apps\neovim\current\share/nvim/runtime/plugin/man.lua
402.257  001.078  000.577: sourcing nvim_exec2() called at C:\Users\Kristan\AppData\Local\nvim\init.lua:0
